rank, rank_change, rider_name, team, nationality, PCS_points, PCS_points_change, UCI_points, one_day_race, GC, TT, Sprint, Climber, age, height, weight, year_wins, all_year_wins, all_year_GT, all_classics, years_active, race_km, race_days
1, 0, Pogačar Tadej, UAE-Team Emirates, Slovenia, 3214, 1219, 4988, 1441, 3244, 1007, 310, 3484, 23, 1.76, 66, 9, 30, 3, 5, 5, 9408, 60
2, 0, van Aert Wout, Team Jumbo-Visma, Belgium, 2810, 1003, 4367, 3803, 826, 1516, 1956, 1626, 27, 1.9, 78, 12, 30, 3, 10, 8, 8515, 49
3, 0, Roglič Primož, Team Jumbo-Visma, Slovenia, 2564, 133, 3660, 1507, 5154, 3866, 286, 5302, 32, 1.77, 65, 11, 60, 9, 7, 9, 8529, 52
4, 0, Alaphilippe Julian, Deceuninck - Quick Step, France, 1947, 834, 3080, 5579, 2139, 1237, 1510, 5252, 29, 1.73, 62, 4, 37, 6, 17, 10, 10976, 63
5, 0, Almeida João, Deceuninck - Quick Step, Portugal, 1664, 791, 2161, 346, 1502, 1094, 144, 1500, 23, 1.78, 63, 4, 6, 2, 3, 5, 11281, 70
6, 0, Colbrelli Sonny, Bahrain - Victorious, Italy, 1646, 1334, 2570, 5231, 1162, 142, 4158, 1694, 31, 1.76, 74, 7, 34, 10, 18, 12, 10306, 61
7, 0, Philipsen Jasper, Alpecin-Fenix, Belgium, 1515, 879, 1777, 1588, 228, 94, 2479, 478, 23, 1.76, 69, 9, 14, 4, 4, 5, 10624, 63
8, 0, Bernal Egan, INEOS Grenadiers, Colombia, 1510, 1094, 2336, 877, 3433, 504, 198, 3324, 24, 1.75, 60, 2, 19, 5, 3, 6, 10642, 66
9, 0, van der Poel Mathieu, Alpecin-Fenix, Netherlands, 1446, 312, 2316, 3075, 784, 454, 1958, 1264, 26, 1.84, 75, 8, 35, 1, 8, 8, 6029, 34
10, 0, Yates Adam, INEOS Grenadiers, Great Britain, 1444, 826, 2219, 1662, 3965, 598, 193, 4644, 29, 1.73, 58, 1, 16, 10, 11, 9, 8689, 53
11, 0, Gaudu David, Groupama - FDJ, France, 1346, 833, 1798, 1235, 1553, 31, 208, 2310, 25, 1.73, 53, 3, 7, 5, 7, 6, 11079, 67
12, 0, Valverde Alejandro, Movistar Team, Spain, 1324, 506, 1978, 12579, 13007, 4612, 4326, 17309, 41, 1.77, 61, 3, 130, 30, 33, 23, 11695, 73
13, 0, Mohorič Matej, Bahrain - Victorious, Slovenia, 1322, 1081, 1897, 1488, 1335, 241, 725, 1558, 27, 1.85, 72, 4, 15, 10, 16, 9, 11913, 71
14, 0, Carapaz Richard, INEOS Grenadiers, Ecuador, 1306, 193, 2028, 747, 2546, 331, 156, 3032, 28, 1.7, 62, 2, 12, 8, 2, 9, 9365, 61
15, 0, Vingegaard Jonas, Team Jumbo-Visma, Denmark, 1295, 1171, 1721, 167, 1069, 570, 300, 962, 24, 1.75, 60, 3, 5, 2, 4, 6, 9421, 58
16, 0, Woods Michael, Israel Start-Up Nation, Canada, 1222, 583, 1880, 2340, 1685, 20, 326, 3660, 35, 1.75, 64, 2, 8, 7, 12, 9, 9545, 60
17, 0, Evenepoel Remco, Deceuninck - Quick Step, Belgium, 1200, 302, 1784, 719, 1289, 1129, 96, 672, 21, 1.71, 60, 6, 22, 1, 2, 3, 7127, 46
18, 0, Mollema Bauke, Trek - Segafredo, Netherlands, 1190, 869, 1617, 4548, 5490, 1466, 1032, 7852, 35, 1.83, 64, 3, 17, 19, 22, 16, 13061, 81
19, 0, Asgreen Kasper, Deceuninck - Quick Step, Denmark, 1151, 718, 1553, 1166, 457, 1695, 488, 719, 26, 1.92, 75, 4, 10, 4, 8, 6, 10868, 68
20, 0, Merlier Tim, Alpecin-Fenix, Belgium, 1149, 652, 1695, 1753, 28, 3, 2308, 0, 29, 1.85, 74, 9, 18, 2, 1, 10, 10381, 63
21, 0, Mas Enric, Movistar Team, Spain, 1139, 420, 1528, 228, 2728, 500, 78, 2806, 26, 1.77, 61, 1, 5, 7, 6, 8, 11927, 76
22, 0, Cavendish Mark, Deceuninck - Quick Step, Great Britain, 1127, 1114, 1263, 2752, 1357, 708, 13328, 668, 36, 1.75, 70, 10, 156, 20, 15, 17, 11390, 71
23, 0, Stuyven Jasper, Trek - Segafredo, Belgium, 1088, 485, 1796, 3600, 839, 88, 2985, 1518, 29, 1.86, 78, 1, 9, 8, 20, 11, 10137, 59
24, 0, Küng Stefan, Groupama - FDJ, Switzerland, 1071, 431, 1430, 1187, 1067, 3790, 414, 337, 28, 1.93, 83, 5, 22, 7, 14, 9, 10504, 71
25, 0, Nizzolo Giacomo, Team Qhubeka NextHash, Italy, 1051, 394, 1607, 3843, 532, 234, 6368, 530, 32, 1.84, 72, 3, 28, 11, 12, 12, 11689, 71
26, 0, Hayter Ethan, INEOS Grenadiers, Great Britain, 1037, 792, 1280, 468, 513, 246, 592, 536, 23, 1.78, 69, 9, 10, 0, 2, 5, 7445, 47
27, 0, Laporte Christophe, Cofidis Solutions Crédits, France, 964, 841, 1210, 1669, 580, 741, 2548, 421, 28, 1.89, 76, 4, 21, 7, 18, 9, 11933, 73
28, 0, van Poppel Danny, Intermarché - Wanty - Gobert Matériaux, Netherlands, 942, 671, 1316, 2257, 340, 343, 4390, 290, 28, 1.84, 82, 2, 18, 6, 11, 10, 13592, 84
29, 0, Matthews Michael, Team BikeExchange, Australia, 915, 259, 1102, 5552, 759, 1512, 5270, 2992, 31, 1.78, 72, 0, 37, 12, 19, 13, 11337, 69
30, 1, Trentin Matteo, UAE-Team Emirates, Italy, 911, 477, 1535, 3887, 488, 250, 3789, 1426, 32, 1.79, 74, 1, 26, 11, 28, 12, 12364, 73
31, 1, Yates Simon, Team BikeExchange, Great Britain, 905, 242, 1224, 601, 3859, 703, 219, 4250, 29, 1.72, 58, 2, 23, 12, 7, 11, 11200, 68
32, 1, Démare Arnaud, Groupama - FDJ, France, 899, -240, 1009, 4998, 1361, 409, 8600, 602, 30, 1.82, 76, 8, 84, 10, 23, 12, 11628, 69
33, 1, Ulissi Diego, UAE-Team Emirates, Italy, 890, -251, 1062, 4240, 4095, 935, 1706, 4580, 32, 1.75, 63, 3, 42, 11, 27, 13, 11394, 69
34, 1, Sagan Peter, BORA - hansgrohe, Slovakia, 881, -18, 970, 9134, 1681, 1301, 13648, 4355, 31, 1.84, 78, 4, 119, 16, 32, 13, 11316, 70
35, 2, Martin Guillaume, Cofidis Solutions Crédits, France, 875, -290, 1038, 1180, 2430, 6, 324, 2726, 28, 1.73, 55, 1, 7, 7, 8, 10, 13364, 80
36, 2, Caruso Damiano, Bahrain - Victorious, Italy, 875, 455, 1238, 766, 3283, 889, 840, 3422, 34, 1.79, 67, 2, 4, 15, 24, 15, 11747, 73
37, -7, O'Connor Ben, AG2R Citroën Team, Australia, 863, 629, 1227, 77, 1183, 150, 86, 1134, 26, 1.88, 67, 1, 5, 5, 3, 7, 10392, 68
38, 1, Honoré Mikkel Frølich, Deceuninck - Quick Step, Denmark, 862, 698, 1420, 594, 371, 79, 256, 561, 24, 1.85, 68, 2, 2, 3, 2, 4, 9522, 58
39, 1, Schachmann Maximilian, BORA - hansgrohe, Germany, 846, -87, 1604, 1240, 1476, 1108, 272, 1974, 27, 1.83, 70, 1, 13, 4, 9, 9, 6888, 44
40, 1, Vlasov Aleksandr, Astana - Premier Tech, Russia, 845, -178, 1241, 557, 1461, 246, 168, 1680, 25, 1.86, 68, 1, 6, 4, 4, 7, 11534, 72
41, 1, Lutsenko Alexey, Astana - Premier Tech, Kazakhstan, 842, 402, 1220, 1584, 2386, 780, 1156, 2048, 29, 1.74, 74, 2, 29, 9, 16, 11, 11530, 74
42, 1, Bardet Romain, Team DSM, France, 834, 506, 989, 2620, 5138, 333, 446, 6414, 31, 1.84, 65, 2, 9, 11, 17, 13, 11268, 68
43, 1, van Baarle Dylan, INEOS Grenadiers, Netherlands, 820, 437, 1235, 1730, 1252, 1156, 812, 809, 29, 1.87, 78, 1, 5, 10, 19, 11, 11277, 66
44, 1, Kelderman Wilco, BORA - hansgrohe, Netherlands, 819, -92, 1070, 580, 4892, 2346, 776, 4294, 30, 1.85, 65, 0, 4, 12, 10, 12, 7931, 53
45, 1, Thomas Geraint, INEOS Grenadiers, Great Britain, 805, 407, 1268, 1219, 5125, 4253, 1384, 3246, 35, 1.83, 71, 1, 24, 16, 18, 17, 9875, 67
46, 1, Porte Richie, INEOS Grenadiers, Australia, 797, -336, 1293, 305, 7470, 4256, 479, 4346, 36, 1.72, 62, 1, 33, 16, 6, 14, 8531, 57
47, 1, Izagirre Ion, Astana - Premier Tech, Spain, 792, 463, 953, 1241, 4619, 2726, 276, 3666, 32, 1.73, 60, 2, 15, 14, 21, 14, 12476, 82
48, 1, Sénéchal Florian, Deceuninck - Quick Step, France, 789, 60, 1288, 2534, 627, 193, 1866, 319, 28, 1.79, 77, 2, 4, 6, 16, 10, 10176, 59
49, 1, Bilbao Pello, Bahrain - Victorious, Spain, 773, 127, 844, 745, 2321, 751, 691, 2826, 31, 1.74, 60, 1, 11, 13, 6, 11, 10444, 66
50, 1, Haig Jack, Bahrain - Victorious, Australia, 759, 391, 1131, 547, 1975, 263, 210, 1891, 28, 1.9, 67, 0, 2, 8, 8, 8, 9116, 59
51, -15, Ackermann Pascal, BORA - hansgrohe, Germany, 748, -193, 1014, 2803, 236, 66, 3748, 527, 27, 1.8, 78, 6, 36, 2, 1, 9, 8624, 54
52, 0, Quintana Nairo, Team Arkéa Samsic, Colombia, 743, -4, 821, 741, 8744, 1258, 227, 7457, 31, 1.67, 59, 1, 47, 16, 6, 13, 11268, 69
53, 0, Cattaneo Mattia, Deceuninck - Quick Step, Italy, 739, 565, 639, 673, 1177, 1079, 228, 1269, 31, 1.84, 67, 1, 3, 8, 10, 12, 9997, 69
54, 0, Chaves Esteban, Team BikeExchange, Colombia, 701, 333, 703, 962, 2829, 200, 280, 3555, 31, 1.64, 55, 1, 16, 13, 6, 12, 8406, 53
55, 0, Urán Rigoberto, EF Education - Nippo, Colombia, 700, 348, 875, 2917, 5154, 1754, 896, 6266, 34, 1.73, 63, 1, 14, 20, 19, 16, 7645, 50
56, 0, Jakobsen Fabio, Deceuninck - Quick Step, Netherlands, 700, 417, 845, 1067, 53, 38, 2242, 104, 25, 1.81, 78, 7, 25, 2, 0, 6, 8388, 53
57, 0, Ganna Filippo, INEOS Grenadiers, Italy, 699, -98, 921, 140, 252, 2820, 73, 162, 25, 1.93, 82, 7, 16, 2, 8, 7, 9536, 66
58, 0, Cosnefroy Benoît, AG2R Citroën Team, France, 690, 66, 1131, 1941, 315, 107, 612, 658, 26, 1.79, 64, 3, 12, 3, 5, 7, 10308, 62
59, 0, Viviani Elia, Cofidis Solutions Crédits, Italy, 682, 322, 801, 4550, 899, 160, 8894, 512, 32, 1.78, 67, 7, 85, 13, 13, 13, 11746, 74
60, 0, Pidcock Thomas, INEOS Grenadiers, Great Britain, 681, 624, 1290, 732, 100, 10, 92, 343, 22, 1.7, 58, 1, 1, 1, 2, 4, 6685, 37
61, 0, Paret-Peintre Aurélien, AG2R Citroën Team, France, 674, 410, 732, 464, 686, 73, 186, 594, 25, 1.84, 64, 1, 1, 2, 3, 7, 11837, 73
62, 0, Lampaert Yves, Deceuninck - Quick Step, Belgium, 645, -32, 1080, 2700, 1056, 1719, 2000, 374, 30, 1.8, 75, 2, 13, 4, 15, 10, 9203, 53
63, 0, Hermans Ben, Israel Start-Up Nation, Belgium, 644, 463, 926, 1532, 3229, 571, 1148, 2108, 35, 1.86, 72, 4, 19, 7, 16, 16, 10067, 66
64, 0, Pedersen Mads, Trek - Segafredo, Denmark, 643, -126, 746, 1657, 756, 857, 1466, 277, 25, 1.79, 70, 3, 18, 4, 9, 8, 10187, 66
65, 1, Wellens Tim, Lotto Soudal, Belgium, 636, 179, 820, 2902, 3204, 928, 807, 2528, 30, 1.82, 71, 1, 32, 7, 24, 12, 9878, 58
66, 1, Konrad Patrick, BORA - hansgrohe, Austria, 627, 82, 705, 1012, 1975, 431, 344, 2654, 30, 1.8, 65, 2, 3, 7, 13, 11, 11228, 69
67, -2, Cort Magnus, EF Education - Nippo, Denmark, 625, 409, 596, 876, 746, 417, 2348, 1024, 28, 1.83, 68, 5, 21, 7, 16, 10, 12246, 78
68, 0, Teuns Dylan, Bahrain - Victorious, Belgium, 610, 214, 608, 1165, 2086, 456, 750, 2311, 29, 1.81, 64, 1, 12, 6, 15, 10, 11712, 69
69, 0, López Miguel Ángel,  , Colombia, 609, -111, 694, 322, 3349, 480, 226, 3730, 27, 1.64, 59, 3, 21, 10, 2, 8, 9434, 60
70, 0, Kuss Sepp, Team Jumbo-Visma, United States, 607, 37, 550, 92, 1135, 92, 70, 1886, 27, 1.8, 61, 1, 7, 7, 1, 6, 11408, 73
71, 0, Aranburu Alex, Astana - Premier Tech, Spain, 600, 280, 717, 737, 297, 190, 570, 1077, 26, 1.78, 63, 1, 4, 5, 4, 7, 11512, 70
72, 0, Politt Nils, BORA - hansgrohe, Germany, 597, 498, 722, 1080, 800, 906, 656, 390, 27, 1.92, 80, 2, 4, 5, 14, 8, 11075, 69
73, 0, Martin Dan, Israel Start-Up Nation, Ireland, 595, -192, 513, 3447, 5975, 454, 591, 7977, 35, 1.75, 59, 1, 22, 19, 26, 17, 11450, 70
74, 0, Powless Neilson, EF Education - Nippo, United States, 595, 395, 986, 512, 695, 523, 208, 729, 25, 1.83, 67, 1, 1, 3, 4, 6, 9008, 59
75, 0, Kristoff Alexander, UAE-Team Emirates, Norway, 591, 46, 800, 8754, 2081, 297, 10658, 1428, 34, 1.81, 78, 2, 81, 10, 31, 15, 10416, 61
76, 0, Masnada Fausto, Deceuninck - Quick Step, Italy, 590, 163, 1078, 561, 1279, 142, 89, 1200, 28, 1.82, 65, 0, 5, 4, 6, 10, 6931, 45
77, 0, Godon Dorian, AG2R Citroën Team, France, 580, 408, 894, 746, 195, 145, 443, 516, 25, 1.9, 73, 3, 6, 3, 5, 6, 11806, 69
78, 0, Ewan Caleb, Lotto Soudal, Australia, 573, -272, 766, 1767, 229, 148, 5508, 474, 27, 1.67, 69, 6, 52, 8, 5, 9, 6410, 43
79, 0, Hirschi Marc, UAE-Team Emirates, Switzerland, 567, -324, 804, 1297, 521, 209, 140, 1126, 23, 1.74, 61, 1, 3, 2, 6, 5, 11729, 76
80, 0, Bennett Sam, Deceuninck - Quick Step, Ireland, 563, -505, 720, 2073, 299, 25, 6312, 415, 31, 1.78, 73, 7, 56, 7, 9, 13, 4291, 28
81, 0, Kwiatkowski Michał, INEOS Grenadiers, Poland, 562, -68, 702, 4210, 3339, 3358, 7, 3306, 31, 1.76, 68, 1, 28, 11, 30, 13, 11140, 68
82, 0, Landa Mikel, Bahrain - Victorious, Spain, 560, -203, 833, 682, 3934, 199, 232, 4608, 31, 1.73, 60, 0, 16, 16, 14, 12, 8105, 52
83, 0, Van Avermaet Greg, AG2R Citroën Team, Belgium, 560, -1, 931, 11064, 3551, 574, 6901, 4836, 36, 1.81, 74, 0, 41, 12, 51, 16, 12907, 75
84, 0, Mäder Gino, Bahrain - Victorious, Switzerland, 555, 415, 736, 88, 520, 146, 110, 696, 24, 1.81, 61, 2, 3, 3, 2, 5, 11840, 78
85, 0, Benoot Tiesj, Team DSM, Belgium, 550, 36, 769, 3127, 1730, 83, 1216, 2400, 27, 1.9, 72, 0, 3, 6, 20, 9, 8289, 49
86, 0, Valgren Michael, EF Education - Nippo, Denmark, 544, 349, 902, 2516, 1143, 445, 644, 1296, 29, 1.79, 71, 2, 8, 9, 18, 10, 8827, 51
87, 0, Bonnamour Franck, B&B Hotels p/b KTM, France, 532, 485, 566, 466, 319, 21, 165, 519, 26, 1.8, 70, 0, 0, 1, 5, 8, 11340, 70
88, 0, Carthy Hugh, EF Education - Nippo, Great Britain, 532, -22, 602, 234, 1820, 338, 80, 1732, 27, 1.93, 69, 1, 7, 9, 2, 9, 8425, 56
89, 0, Barguil Warren, Team Arkéa Samsic, France, 527, -144, 804, 1672, 2575, 106, 470, 3223, 30, 1.82, 61, 0, 6, 11, 15, 11, 9712, 55
90, 0, Turgis Anthony, Team TotalEnergies, France, 524, 245, 725, 1447, 657, 182, 920, 358, 27, 1.78, 70, 0, 6, 5, 12, 8, 11466, 71
91, 0, Vermeersch Gianni, Alpecin-Fenix, Belgium, 522, 199, 739, 994, 149, 2, 778, 300, 29, 1.73, 65, 0, 2, 1, 5, 9, 10135, 58
92, 0, Herrada Jesús, Cofidis Solutions Crédits, Spain, 522, 182, 650, 1334, 1857, 766, 606, 1922, 31, 1.83, 70, 1, 16, 11, 19, 13, 13357, 83
93, 0, Meeus Jordi, BORA - hansgrohe, Belgium, 522, 391, 720, 552, 36, 0, 485, 80, 23, 1.9, 80, 2, 5, 1, 1, 5, 12473, 80
94, 0, Bouhanni Nacer, Team Arkéa Samsic, France, 520, -18, 495, 4120, 462, 51, 9337, 644, 31, 1.75, 65, 0, 69, 10, 6, 12, 8113, 52
95, 0, Moscon Gianni, INEOS Grenadiers, Italy, 519, 451, 751, 1789, 771, 604, 465, 1135, 27, 1.82, 70, 3, 11, 4, 18, 8, 10415, 62
96, 0, Swift Connor, Team Arkéa Samsic, Great Britain, 518, 465, 707, 411, 353, 89, 282, 186, 26, 1.9, 75, 1, 3, 2, 4, 5, 12910, 78
97, 0, Madouas Valentin, Groupama - FDJ, France, 517, 153, 768, 1248, 552, 64, 365, 844, 25, 1.78, 71, 1, 2, 3, 7, 6, 11543, 66
98, 0, Covi Alessandro, UAE-Team Emirates, Italy, 513, 385, 742, 425, 113, 5, 112, 448, 23, 1.76, 66, 0, 0, 1, 2, 4, 11682, 70
99, 0, Champoussin Clément, AG2R Citroën Team, France, 500, 399, 562, 238, 325, 53, 214, 570, 23, 1.8, 61, 1, 1, 3, 3, 4, 10488, 67
100, 0, Van der Sande Tosh, Lotto Soudal, Belgium, 497, 432, 756, 799, 679, 1, 1457, 824, 30, 1.78, 67, 0, 2, 10, 15, 12, 10745, 65
101, 0, Tiller Rasmus, Uno-X Pro Cycling Team, Norway, 492, 460, 702, 520, 82, 41, 249, 106, 25, 1.74, 71, 1, 2, 1, 2, 6, 8079, 46
102, 0, Schelling Ide, BORA - hansgrohe, Netherlands, 486, 400, 663, 312, 250, 110, 74, 219, 23, 1.82, 66, 1, 1, 2, 4, 4, 10561, 67
103, 0, Ballerini Davide, Deceuninck - Quick Step, Italy, 482, 148, 502, 1008, 129, 112, 1235, 371, 27, 1.83, 77, 3, 8, 3, 10, 8, 10336, 63
104, 0, Coquard Bryan, B&B Hotels p/b KTM, France, 472, 150, 557, 2309, 1013, 289, 5783, 327, 29, 1.71, 59, 0, 45, 5, 5, 11, 11819, 74
105, 0, Higuita Sergio, EF Education - Nippo, Colombia, 472, 55, 405, 525, 912, 57, 252, 1504, 24, 1.66, 57, 0, 4, 3, 4, 6, 8888, 53
106, 0, Teunissen Mike, Team Jumbo-Visma, Netherlands, 467, 261, 503, 1302, 1075, 328, 1581, 326, 29, 1.84, 73, 0, 6, 5, 11, 10, 8859, 55
107, 1, Hofstetter Hugo, Israel Start-Up Nation, France, 465, 141, 735, 1761, 45, 0, 1703, 153, 27, 1.7, 65, 0, 2, 1, 9, 8, 10951, 64
108, 1, Storer Michael, Team DSM, Australia, 464, 304, 526, 211, 452, 89, 259, 562, 24, 1.77, 63, 3, 4, 5, 4, 6, 9959, 62
109, -2, Rota Lorenzo, Intermarché - Wanty - Gobert Matériaux, Italy, 462, 259, 731, 670, 295, 12, 231, 580, 26, 1.73, 62, 0, 0, 4, 13, 8, 11357, 67
110, 0, Poels Wout, Bahrain - Victorious, Netherlands, 457, 52, 341, 959, 3903, 908, 515, 3974, 34, 1.83, 66, 0, 19, 18, 14, 15, 11342, 71
111, 0, Fuglsang Jakob, Astana - Premier Tech, Denmark, 447, -892, 660, 3322, 6270, 1619, 928, 5924, 36, 1.81, 65, 0, 26, 16, 20, 17, 8486, 53
112, 0, Vansevenant Mauri, Deceuninck - Quick Step, Belgium, 447, 427, 531, 237, 206, 14, 51, 263, 22, 1.75, 60, 1, 1, 1, 2, 4, 9382, 59
113, 0, Pasqualon Andrea, Intermarché - Wanty - Gobert Matériaux, Italy, 445, 87, 588, 2256, 587, 74, 3059, 606, 33, 1.74, 68, 0, 8, 4, 13, 13, 13422, 80
114, 0, Nibali Vincenzo, Trek - Segafredo, Italy, 445, -319, 467, 4659, 9488, 3713, 1379, 9554, 37, 1.81, 65, 1, 54, 25, 42, 18, 12173, 73
115, 0, Eiking Odd Christian, Intermarché - Wanty - Gobert Matériaux, Norway, 443, 419, 503, 522, 932, 39, 377, 858, 26, 1.82, 75, 0, 3, 4, 6, 9, 10659, 69
116, 0, Bissegger Stefan, EF Education - Nippo, Switzerland, 440, 295, 447, 125, 125, 977, 203, 30, 23, 1.78, 78, 3, 4, 1, 4, 4, 10531, 70
117, 1, De Marchi Alessandro, Israel Start-Up Nation, Italy, 428, 286, 557, 962, 508, 481, 198, 1631, 35, 1.81, 65, 3, 6, 14, 23, 14, 9485, 59
118, 1, Walscheid Max, Team Qhubeka NextHash, Germany, 427, 186, 490, 759, 207, 686, 1912, 89, 28, 1.99, 90, 1, 11, 5, 6, 8, 13548, 85
119, 1, Ghirmay Hailu Biniam, Intermarché - Wanty - Gobert Matériaux, Eritrea, 424, 125, 746, 603, 13, 60, 447, 130, 21, 1.84, 70, 1, 5, 0, 0, 3, 6381, 37
120, -3, Bouchard Geoffrey, AG2R Citroën Team, France, 422, 353, 417, 87, 359, 1, 82, 457, 29, 1.77, 64, 0, 0, 4, 2, 4, 12623, 77
121, 0, Hoelgaard Markus, Uno-X Pro Cycling Team, Norway, 421, 193, 566, 270, 686, 20, 452, 344, 27, 1.87, 74, 1, 2, 0, 0, 8, 6752, 38
122, 0, de la Cruz David, UAE-Team Emirates, Spain, 420, 55, 508, 105, 2153, 830, 72, 2080, 32, 1.82, 66, 0, 5, 13, 9, 13, 10274, 67
123, 0, Serrano Gonzalo, Movistar Team, Spain, 419, 290, 462, 313, 219, 14, 278, 432, 27, 1.77, 65, 1, 2, 2, 4, 4, 9814, 58
124, 0, Gaviria Fernando, UAE-Team Emirates, Colombia, 416, 33, 339, 1420, 119, 77, 4222, 326, 27, 1.8, 71, 1, 47, 6, 8, 8, 10306, 64
125, 0, Dainese Alberto, Team DSM, Italy, 414, 273, 401, 431, 51, 0, 710, 110, 23, 1.76, 70, 0, 2, 1, 1, 4, 9275, 57
126, 0, Latour Pierre, Team TotalEnergies, France, 411, 366, 411, 583, 1795, 890, 164, 2186, 28, 1.8, 66, 1, 5, 6, 6, 10, 11590, 78
127, 0, Allegaert Piet, Cofidis Solutions Crédits, Belgium, 409, 299, 441, 598, 96, 140, 578, 91, 26, 1.81, 70, 0, 1, 1, 7, 6, 11958, 71
128, 0, Aleotti Giovanni, BORA - hansgrohe, Italy, 406, 393, 449, 179, 291, 10, 64, 196, 22,  ,  , 1, 2, 1, 1, 4, 11295, 69
129, 0, Dennis Rohan, INEOS Grenadiers, Australia, 402, -50, 441, 46, 2592, 5896, 314, 1149, 31, 1.82, 72, 3, 30, 10, 0, 13, 5826, 41
130, 0, McNulty Brandon, UAE-Team Emirates, United States, 399, -14, 440, 209, 686, 846, 94, 634, 23, 1.83, 69, 0, 2, 2, 3, 5, 10636, 69
131, 0, Hamilton Lucas, Team BikeExchange, Australia, 397, 205, 490, 209, 867, 71, 257, 773, 25, 1.84, 71, 0, 4, 4, 2, 6, 10000, 65
132, 1, Greipel André, Israel Start-Up Nation, Germany, 388, 324, 229, 4650, 1921, 530, 15912, 700, 39, 1.84, 80, 2, 158, 19, 22, 19, 11964, 77
133, -1, Dewulf Stan, AG2R Citroën Team, Belgium, 384, 243, 547, 419, 273, 65, 354, 168, 23, 1.76, 74, 1, 1, 2, 6, 6, 12418, 72
134, 0, Degenkolb John, Lotto Soudal, Germany, 381, -24, 594, 5881, 1103, 292, 7912, 1188, 32, 1.79, 82, 0, 48, 14, 26, 14, 9990, 61
135, 0, Fortunato Lorenzo, EOLO-Kometa, Italy, 378, 318, 376, 60, 332, 0, 75, 318, 25, 1.7, 58, 2, 3, 1, 3, 6, 8265, 49
136, 0, Campenaerts Victor, Team Qhubeka NextHash, Belgium, 375, 121, 559, 233, 756, 2976, 242, 315, 30, 1.73, 68, 1, 8, 8, 5, 9, 10625, 63
137, 0, Oliveira Nelson, Movistar Team, Portugal, 375, 173, 345, 456, 998, 2869, 80, 636, 32, 1.8, 67, 0, 6, 15, 18, 13, 11907, 74
138, 1, Dumoulin Tom, Team Jumbo-Visma, Netherlands, 373, -242, 408, 1122, 4303, 6011, 596, 3393, 31, 1.85, 69, 1, 22, 13, 19, 12, 2522, 19
139, 1, Welten Bram, Team Arkéa Samsic, Netherlands, 365, 322, 623, 776, 65, 0, 849, 21, 24, 1.88, 81, 1, 1, 0, 3, 6, 9508, 57
140, 1, Vanmarcke Sep, Israel Start-Up Nation, Belgium, 363, 300, 645, 4394, 755, 264, 2449, 667, 33, 1.89, 77, 0, 8, 7, 25, 15, 10600, 67
141, 1, Bauhaus Phil, Bahrain - Victorious, Germany, 363, 193, 209, 579, 170, 1, 2160, 139, 27, 1.84, 71, 7, 17, 2, 3, 9, 9168, 59
142, -4, Aberasturi Jon, Caja Rural - Seguros RGA, Spain, 361, 165, 323, 582, 192, 157, 2804, 276, 32, 1.73, 69, 1, 15, 4, 0, 12, 11337, 72
143, 0, Mozzato Luca, B&B Hotels p/b KTM, Italy, 361, 232, 526, 422, 61, 0, 512, 86, 23, 1.78, 67, 0, 0, 0, 2, 4, 8655, 47
144, 0, Gibbons Ryan, UAE-Team Emirates, South Africa, 359, 260, 730, 554, 416, 327, 929, 414, 27, 1.81, 70, 6, 8, 6, 4, 9, 11435, 73
145, 0, Ciccone Giulio, Trek - Segafredo, Italy, 357, 39, 343, 862, 574, 80, 195, 1740, 26, 1.76, 58, 0, 6, 8, 7, 8, 11003, 66
146, 0, Cavagna Rémi, Deceuninck - Quick Step, France, 354, 15, 370, 346, 503, 1623, 246, 324, 26, 1.86, 78, 3, 8, 5, 4, 7, 10514, 69
147, 0, Formolo Davide, UAE-Team Emirates, Italy, 347, 39, 368, 1016, 2015, 166, 242, 2549, 29, 1.81, 62, 0, 4, 12, 13, 10, 12299, 74
148, 0, van der Hoorn Taco, Intermarché - Wanty - Gobert Matériaux, Netherlands, 344, 295, 402, 887, 155, 2, 802, 136, 27, 1.87, 74, 3, 6, 1, 9, 7, 11555, 70
149, 0, Arndt Nikias, Team DSM, Germany, 344, 264, 274, 690, 651, 809, 1532, 727, 30, 1.88, 78, 2, 7, 11, 20, 12, 9473, 60
150, 0, Van Asbroeck Tom, Israel Start-Up Nation, Belgium, 343, 246, 577, 2391, 482, 20, 3428, 222, 31, 1.82, 72, 0, 4, 5, 15, 11, 8143, 44
151, 0, Großschartner Felix, BORA - hansgrohe, Austria, 342, -95, 269, 169, 1673, 593, 308, 1414, 27, 1.84, 64, 1, 4, 7, 3, 10, 11922, 75
152, 0, Dupont Timothy, Bingoal Pauwels Sauces WB, Belgium, 340, 214, 461, 3109, 156, 2, 4964, 25, 34, 1.79, 72, 1, 7, 1, 3, 12, 10187, 62
153, 0, Velasco Simone, Gazprom - RusVelo, Italy, 339, 234, 463, 867, 192, 3, 374, 413, 25, 1.7, 59, 1, 3, 0, 9, 8, 10386, 59
154, 0, Foss Tobias, Team Jumbo-Visma, Norway, 339, 258, 398, 68, 347, 528, 70, 225, 24, 1.84, 74, 2, 2, 2, 0, 6, 8263, 52
