rank, rank_change, rider_name, team, nationality, PCS_points, PCS_points_change, UCI_points, one_day_race, GC, TT, Sprint, Climber, age, height, weight, year_wins, all_year_wins, all_year_GT, all_classics, years_active, race_km, race_days
535, 0, Bennett Sean, Team Qhubeka NextHash, United States, 75, 37, 30, 88, 95, 32, 122, 140, 25, 1.78, 66, 0, 0, 3, 3, 6, 11679, 74
536, 0, Gutiérrez Rendón Heberth Alejandro,  , Colombia, 75, 75, 155, 75, 0, 1, 0, 0, 22,  ,  , 1, 0, 0, 0, 1, 1383, 12
537, 0, Vermeltfoort Coen, VolkerWessels Cyclingteam, Netherlands, 74, 61, 165, 1236, 73, 208, 2217, 5, 33, 1.9, 85, 1, 2, 0, 5, 15, 2946, 16
538, 0, Vahtra Norman, Israel Start-Up Nation, Estonia, 74, 54, 97, 120, 102, 110, 456, 4, 25, 1.92, 83, 0, 1, 0, 1, 7, 8077, 54
539, 0, Maciejuk Filip, Leopard Pro Cycling, Poland, 74, 73, 165, 24, 156, 177, 26, 0, 22,  ,  , 2, 1, 0, 0, 4, 5609, 42
540, 0, Brändle Matthias, Israel Start-Up Nation, Austria, 73, -27, 52, 455, 962, 2980, 669, 238, 31, 1.9, 80, 2, 18, 8, 10, 14, 9365, 61
541, 0, Gołaś Michał, INEOS Grenadiers, Poland, 73, 43, 89, 863, 609, 68, 898, 143, 37, 1.8, 65, 0, 2, 9, 21, 17, 6947, 42
542, 0, Lonardi Giovanni, Bardiani-CSF-Faizanè, Italy, 73, -14, 124, 136, 47, 2, 686, 88, 25, 1.8, 70, 1, 3, 2, 0, 6, 6895, 50
543, 0, Osorio Alejandro, Caja Rural - Seguros RGA, Colombia, 73, 36, 67, 7, 83, 6, 8, 128, 23, 1.81, 62, 0, 0, 0, 0, 4, 3889, 28
544, 0, Umba Santiago, Androni Giocattoli - Sidermec, Colombia, 73, 73, 98, 0, 49, 2, 64, 52, 19, 1.7, 58, 2, 0, 0, 0, 1, 6633, 52
545, 0, Sevilla Óscar, Team Medellin - EPM, Spain, 72, -63, 110, 779, 4852, 2360, 2808, 2805, 45, 1.75, 62, 2, 16, 13, 5, 24, 3618, 31
546, 0, Hollenstein Reto, Israel Start-Up Nation, Switzerland, 72, 32, 13, 334, 705, 652, 279, 133, 36, 1.97, 80, 0, 0, 9, 22, 13, 11231, 69
547, 0, Goossens Kobe, Lotto Soudal, Belgium, 72, -3, 61, 33, 166, 23, 92, 90, 25, 1.77, 63, 0, 0, 2, 2, 4, 7717, 52
548, 0, Archibold Franklin, Panama es Cultura y Valores, Panama, 72, 44, 210, 54, 0, 235, 56, 7, 24,  ,  , 2, 3, 0, 0, 5, 3194, 28
549, 0, Neves José, W52 / FC Porto , Portugal, 72, 71, 198, 15, 198, 210, 16, 84, 26, 1.75, 61, 2, 1, 0, 0, 5, 2423, 16
550, 0, van den Berg Lars, Groupama - FDJ, Netherlands, 72, 65, 71, 47, 50, 30, 107, 48, 23, 1.85, 72, 0, 0, 1, 0, 5, 8210, 53
551, 0, Tiberi Antonio, Trek - Segafredo, Italy, 72, 56, 94, 23, 55, 75, 13, 72, 20, 1.82, 62, 0, 0, 0, 1, 2, 7592, 54
552, 0, van Uden Casper, Development Team DSM, Netherlands, 72, 67, 151, 44, 16, 5, 58, 0, 20,  ,  , 4, 0, 0, 0, 2, 6635, 45
553, 2, Rolland Pierre, B&B Hotels p/b KTM, France, 71, -233, 61, 476, 3304, 234, 612, 3598, 35, 1.84, 70, 1, 12, 18, 9, 17, 9911, 65
554, 2, Leroux Samuel, Xelliss - Roubaix Lille Métropole, France, 71, 66, 86, 82, 5, 61, 49, 8, 27, 1.89, 78, 0, 0, 0, 0, 7, 7960, 49
555, 2, Henao Sebastián, INEOS Grenadiers, Colombia, 71, 55, 66, 144, 664, 151, 76, 387, 28, 1.71, 57, 0, 0, 6, 6, 9, 6319, 44
556, 2, Main Kent, ProTouch, South Africa, 71, -5, 329, 37, 136, 225, 116, 69, 25,  ,  , 2, 0, 0, 0, 5, 4708, 35
557, 2, Prodhomme Nicolas, AG2R Citroën Team, France, 71, 69, 51, 16, 100, 8, 38, 95, 24, 1.74, 63, 0, 0, 1, 0, 4, 9256, 59
